args4j,,not found
axis,,not found
azureus,,not found
batik,svn co http://svn.apache.org/repos/asf/xmlgraphics/batik/trunk,
biogenesis,,not found
castor,,not found
commons-vfs,,not found
dita-ot,,
ecj,,
eclipse,,not found
eclipse-anyedit,,
eclipse-cdt,git://git.eclipse.org/gitroot/cdt/org.eclipse.cdt.git,
eclipse-cdt-pkg-config,,
eclipse-egit,,
eclipse-mercurialeclipse,,
eclipse-mylyn,,not found
eclipse-rse,,
eclipse-linuxtools,https://git.eclipse.org/r/p/linuxtools/org.eclipse.linuxtools,
freecol,,
glassfish,,
ha-jdbc,,
ikvm,,
jajuk,,
jclic,,
jeuclid,,
jfractionlab,,
jtb,,
libbase,,
libformula,,
libjtds-java,,
libnb-javaparser-java,,
libxalan2-java,,
mondrian,,
mysql-connector-java,,
ognl,,
pcalendar,,
sat4j,,
scilab,,
statcvs,,
svnclientadapter,,
swt-paperclips,,
swtchart,,
uima-as,,
uimaj,https://svn.apache.org/repos/asf/uima/uimaj/trunk,
weka,,
wesnoth-1.10,,
wsdl2c,,
